Database
Name,Version,Author,Description,Emphasis1,Emphasis2,Emphasis3,Emphasis4
ShenShan,2,richard,,#ffffffff ---,#ff0000ff ---,#00ff00ff ---,#0000ffff ---
Global User Script

Actors
ID,Portrait,AltPortraits,SpritePortrait,AltSpritePortraits,Name,Pictures,Description,IsPlayer,en,NodeColor
Number,Special,Special,Special,Special,Text,Files,Text,Boolean,Localization,Text
1,,[],,[],Player,[],,TRUE,,
2,,[],,[],瑞奇,[],瑞奇党的头目,False,,
3,,[],,[],托奇,[],肯托阵营负责与奎卡交易的 大使,False,,
4,,[],,[],地下列车,[],年久失修的列车,False,,
5,,[],,[],地底爬虫,[],列车地下城生物.,False,,Gray
6,,[],,[],所多提斯士兵,[],"洛斯据点,瑞奇希望占领此地获得高信号传输",FALSE,,
7,,[],,[],所多提斯士兵队长,[],"洛斯据点,瑞奇希望占领此地获得高信号传输",FALSE,,
8,,[],,[],特律,[],"Guy who is union of free ranger,came to qika save them.",False,,
9,,[],,[],所多提斯射手,[],屠杀奎卡族人的士兵,FALSE,,
10,,[],,[],黑色史密斯,[],"奎卡营地的铁匠,用于制作强化武器以及装备",FALSE,,
11,,[],,[],莱曼,[],,False,,
12,,[],,[],李,[],"Chap04 begin und first meet , bar manager",FALSE,,
13,,[],,[],平克,[],,False,,
14,,[],,[],弗伊,[],,FALSE,,
15,,[],,[],所多提斯船长,[],交接船长,FALSE,,
16,,[],,[],莱尼,[],,FALSE,,
19,,[],,[],信号放大器,[],,FALSE,,
20,,[],,[],所多提斯军官,[],,FALSE,,
21,,[],,[],奎卡地下列车,[],车站中有一辆年久失修的列车被藤曼包裹着.,FALSE,,
22,,[],,[],爬虫网,[],爬虫母体衍生出来的网企图阻拦列车行驶的路线,FALSE,,
23,,[],,[],滴滴露,[],,FALSE,,
24,,[],,[],莱曼,[],路德亚看门人,FALSE,,
25,,[],,[],托,[],,False,,
26,,[],,[],南,[],,FALSE,,
27,,[],,[],金,[],,FALSE,,
28,,[],,[],方向,[],,FALSE,,
29,,[],,[],古代武器控制装置,[],,FALSE,,
30,,[],,[],莱德尼列车,[],莱德尼用来逃脱的工具,FALSE,,
